stage,gate,status,evidence
D0,BASELINE_FREEZE,PASS,Phase C frozen; C5/C6/C8 claims invalidated
D1,LITERATURE_AND_NOVELTY,PASS,56 verified records; scoped novelty remains falsifiable
D2,PHYSICAL_PLANT_VALIDATION,PASS,Plant A/B physics and ANDES cross-validation passed
D3/H2,PASSIVE_CAPABILITY_SET,FAIL,joint coverage 0.7947; zero mechanisms meet 0.8 timing criterion
D4/H1,ORACLE_MATERIALITY,NOT_EVALUATED_DUE_TO_H2_FATAL_GATE,fatal H2 stop occurs before D4
D5/H4,THEORY_AND_CRCS_TMPC,NOT_EVALUATED_DUE_TO_H2_FATAL_GATE,fatal H2 stop forbids method development
D6/H3,METHOD_VALIDATION,NOT_EVALUATED_DUE_TO_H2_FATAL_GATE,CRCS-TMPC not developed or evaluated
D7,NEGATIVE_PROTOCOL_INTEGRITY,PASS,factors/seeds locked; zero final episodes executed
D8,NEGATIVE_EVIDENCE_COMPLETENESS,PASS,all D3 failures retained; later experiments separately not_evaluated
D9,FINAL_REVIEW_PACKAGE,PENDING_PACKAGE_SEAL,evaluated by D9 package builder
