gate,status,deleted,standard_changed
plant_a_minimum_scale,PASS,False,False
plant_b_minimum_scale,PASS,False,False
success_drop_at_most_2pp,PASS,False,False
failure_aware_not_worse,PASS,False,False
two_of_three_metrics_improve_8pct_positive_ci,FAIL,False,False
terminal_recovery_not_worse,PASS,False,False
hard_violations_zero,PASS,False,False
unresolved_math_infeasibility_at_most_0p1pct,FAIL,False,False
fallback_at_most_1pct,FAIL,False,False
p99_below_half_period,PASS,False,False
plant_a_b_direction_consistent_positive,FAIL,False,False
normal1h_six_per_method_real,PASS,False,False
contract_violation_not_in_guarantee_gate,PASS,False,False
physical_infeasible_not_imputed_failure,PASS,False,False
