gate,stage,status,evidence
G0,F0 forensic,PASS,Phase E frozen; bug and replay defect reproduced
G1,corrected science,PASS,H1 supported with failure-aware legacy validation
G2,transaction and solver,PASS,9180 cycles; zero history mismatch
G3,model set,PASS,validation residual coverage >=95%
G4,CDSR implementation,PASS,true rolling common-sequence QP
G5,certificate,FAIL,no admissible nonempty backup set for either tested design
G6,validation,NOT_EVALUATED,stopped by G5; no Gate imputation
G7,final lock,NOT_EVALUATED,final seeds not consumed
G8,final evidence,NOT_EVALUATED,known/OOD not run
G9,review package,PENDING,set by package verifier only
