defect_id,defect,diagnostic_class,reproduced,evidence
I0-D01,seed_factor_confounding,CODE,True,results_phase_i/I0/SEED_FACTOR_CONFOUNDING_AUDIT.csv
I0-D02,artificial_normal1h_zero_rows,CODE,True,results_phase_i/I0/NORMAL1H_PROVENANCE_AUDIT.csv
I0-D03,short_active_control_then_held_tail,CODE,True,results_phase_i/I0/H7_20_SCENARIO_HELD_VS_FULL_ROLLING.csv
I0-D04,plant_b_reduced_surrogate_not_native,PHYSICAL_MODEL,True,results_phase_i/I0/PLANT_B_NATIVE_VS_H7_SURROGATE.csv
I0-D05,no_unannounced_capability_transition,EXPERIMENT_DESIGN,True,results_phase_i/I0/SEED_FACTOR_CONFOUNDING_AUDIT.csv
I0-D06,capability_estimator_not_guaranteed_floor,ESTIMATOR,True,results_phase_i/I0/H7_SEMANTIC_DEFECT_REPRODUCTION.csv
I0-D07,hard_coded_capability_floors,PARAMETER_SOURCE,True,results_phase_i/I0/H7_SEMANTIC_DEFECT_REPRODUCTION.csv
I0-D08,energy_state_semantics_mismatch,PHYSICAL_MODEL,True,results_phase_i/I0/H7_SEMANTIC_DEFECT_REPRODUCTION.csv
I0-D09,availability_no_op,ESTIMATOR,True,results_phase_i/I0/H7_SEMANTIC_DEFECT_REPRODUCTION.csv
I0-D10,continuous_delay_three_point_gap,THEORY,True,results_phase_i/I0/H7_SEMANTIC_DEFECT_REPRODUCTION.csv
I0-D11,bridge_clock_not_decremented_in_input,METHOD,True,results_phase_i/I0/H7_SEMANTIC_DEFECT_REPRODUCTION.csv
I0-D12,success_without_terminal_recovery,STATISTICS,True,results_phase_h/H7/H7_VALIDATION_EPISODES.parquet
