item,current_validation,predicted_confirmatory,interpretation_if_confirmed
frequency_vs_contract,+0.23_percent_ci_crosses_zero,-3_to_plus5_percent,no_stable_advantage
ace_vs_contract,+3.21_percent_ci_crosses_zero,-5_to_plus8_percent,no_stable_advantage
tie_vs_contract,-9.07_percent_ci_negative,-15_to0_percent,likely_worse
success_rate_difference,-2.73_percentage_points,-5_to0_percentage_points,not_superior
known_fallback,6.86_percent,3_to10_percent,too_high_for_safety_claim
plant_a_direction,negative,negative_or_near_zero,method_not_supported
plant_b_direction,slightly_positive,small_and_not_significant,cross_model_not_decisive
power_ramp_perfect_info,material,material,science_question_real
delay_perfect_info,weak,weak,not_core_mechanism
normal1h,all_methods_fail,problematic_profile_or_control_boundary,requires_limitations
