milestone,gate,status,basis
M1,integrated_positive_prototype,PASS,8 Plant-A development scenarios; development-only evidence
M2,v1_baseline_fairness,INVALIDATED,baseline-class mismatch; all rows preserved
M2,candidate_set_contraction,FAIL,M2 V2 independent validation
M2,contract_violation_separate,PASS,M2 V2 independent validation
M2,cross_plant_direction,FAIL,M2 V2 independent validation
M2,fallback_noninferiority,PASS,M2 V2 independent validation
M2,false_optimism,FAIL,M2 V2 independent validation
M2,frequency_noninferiority,PASS,M2 V2 independent validation
M2,native_plant_b,PASS,M2 V2 independent validation
M2,normal1h_genuine_and_safe,PASS,M2 V2 independent validation
M2,not_worthwhile_abstention,PASS,M2 V2 independent validation
M2,not_worthwhile_equivalence,PASS,M2 V2 independent validation
M2,oracle_value_recovery,FAIL,M2 V2 independent validation
M2,ordinary_controller_causal,PASS,M2 V2 independent validation
M2,probe_incremental_frequency,PASS,M2 V2 independent validation
M2,sg_mileage_nonworse,FAIL,M2 V2 independent validation
M2,solver_time,PASS,M2 V2 independent validation
M2,success_noninferiority,PASS,M2 V2 independent validation
M2,worthwhile_performance,FAIL,M2 V2 independent validation
M2,zero_physical_hard_violations,PASS,M2 V2 independent validation
M2,post_m2_development_repair_r1,FAIL,change-detection guard abstained in all 16 scenarios
M2,post_m2_development_repair_r2,FAIL,four independent development candidates; no registered positive prototype
M2,oracle_horizon_materiality,FAIL,"perfect capability below 4% aggregate gate for horizons 3, 4, and 6"
Final,final_seed_execution,NOT_EVALUATED,M2 did not pass; seeds 6200-6299 unconsumed
Final,terminal_archive,PASS,decisive negative evidence retained
