citation,title,authors,year,venue,doi,source_url,source_type,formal_peer_reviewed_or_standard,metadata_verification,category,problem,plant_model,black_box,multiple_modes,online_change,frequency_service,multi_area,ACE_tie_line,diagnosis_before_control_harm,constraint_guarantee,active_identification,native_RMS_or_EMT,data_requirements,limitations,theme_black_box_ibr_multimode,theme_data_driven_frequency_control,theme_set_adaptive_tube_mpc,theme_active_dual_safe_identification,theme_multi_area_agc_ace_constrained
Sohrab Rezaei; Xiaomo Wang; Sijia Geng (2027). Data-driven Koopman predictive control for frequency regulation of power systems using black-box IBRs. Electric Power Systems Research.,Data-driven Koopman predictive control for frequency regulation of power systems using black-box IBRs,Sohrab Rezaei; Xiaomo Wang; Sijia Geng,2027,Electric Power Systems Research,10.1016/j.epsr.2026.113699,https://doi.org/10.1016/j.epsr.2026.113699,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",True,True,False,False,False
Jianning Cai; Bo Hu; Zexi Li; Dongsheng Yang; Lin Zhu; Mauro Cappelli (2026). Data-driven load frequency control with delay compensation for power systems incorporating inverter air conditioners. International Journal of Electrical Power &amp; Energy Systems.,Data-driven load frequency control with delay compensation for power systems incorporating inverter air conditioners,Jianning Cai; Bo Hu; Zexi Li; Dongsheng Yang; Lin Zhu; Mauro Cappelli,2026,International Journal of Electrical Power &amp; Energy Systems,10.1016/j.ijepes.2026.111834,https://doi.org/10.1016/j.ijepes.2026.111834,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",False,True,False,False,False
Yuzhou Wei; Wenjie Liu; Yifan Xie; Frank Allgoewer; Jian Sun; Gang Wang (2026). Data-Driven Robust MPC for Unknown Nonlinear Systems via Set-Membership Learning. arXiv preprint.,Data-Driven Robust MPC for Unknown Nonlinear Systems via Set-Membership Learning,Yuzhou Wei; Wenjie Liu; Yifan Xie; Frank Allgoewer; Jian Sun; Gang Wang,2026,arXiv preprint,,https://arxiv.org/abs/2606.24316,posted-content,False,primary_arxiv_title_author_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
Yue Zhu; Yunjie Gu; Yifan Zhang; Jessica S. Döhler; Xiaoyao Zhou; Lingling Fan; Timothy C. Green (2026). Hybrid Data/Model-Driven Whole-System Admittance Identification via Single-Bus Injections. IEEE Transactions on Power Systems.,Hybrid Data/Model-Driven Whole-System Admittance Identification via Single-Bus Injections,Yue Zhu; Yunjie Gu; Yifan Zhang; Jessica S. Döhler; Xiaoyao Zhou; Lingling Fan; Timothy C. Green,2026,IEEE Transactions on Power Systems,10.1109/tpwrs.2026.3684993,https://doi.org/10.1109/tpwrs.2026.3684993,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,black_box_ibr,external-I/O or data-assisted dynamic representation of opaque inverter-based resources,IBR-integrated power system or converter network,True,varies,varies,varies,varies,False,not established,varies,sometimes uses designed perturbations,varies,terminal voltage/current or public trajectory measurements,does not jointly estimate present power/ramp/delay/energy/availability sets before a counterfactual control-loss time,True,False,False,False,False
Antonio C. S. Lima; Anny A. S. Santos; Maria Teresa Correia de Barros; Luis G. B. Rolim; Alberto H. Otero Llosa; Jose C. L. V. Silva (2026). Inverter Based Resource With a Long Feeder: Modeling and Experimental Validation. IEEE Transactions on Power Delivery.,Inverter Based Resource With a Long Feeder: Modeling and Experimental Validation,Antonio C. S. Lima; Anny A. S. Santos; Maria Teresa Correia de Barros; Luis G. B. Rolim; Alberto H. Otero Llosa; Jose C. L. V. Silva,2026,IEEE Transactions on Power Delivery,10.1109/tpwrd.2026.3669810,https://doi.org/10.1109/tpwrd.2026.3669810,journal-article,True,crossref_exact_doi_title_fragment_year,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,native network RMS/DAE or EMT,varies,varies,False,supporting,possible,False,False,False,False,True,network/device parameters and validated operating cases,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",False,False,False,False,False
Heqing Huang; Yuzhang Lin (2026). Learning to Model the Dynamics of Black-Box Inverter-Based Resources With Multiple Unknown Control Modes From Noisy Measurement Data. IEEE Transactions on Smart Grid.,Learning to Model the Dynamics of Black-Box Inverter-Based Resources With Multiple Unknown Control Modes From Noisy Measurement Data,Heqing Huang; Yuzhang Lin,2026,IEEE Transactions on Smart Grid,10.1109/tsg.2025.3647551,https://doi.org/10.1109/tsg.2025.3647551,journal-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",True,False,False,False,False
Johannes Buerger; Mark Cannon (2026). Robust adaptive NMPC using ellipsoidal tubes. arXiv preprint.,Robust adaptive NMPC using ellipsoidal tubes,Johannes Buerger; Mark Cannon,2026,arXiv preprint,,https://arxiv.org/abs/2603.05029,posted-content,False,primary_arxiv_title_author_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
Merlijne Geurts; Tren Baltussen; Alexander Katriniok; Maurice Heemels (2025). A Contingency Model Predictive Control Framework for Safe Learning. IEEE Control Systems Letters.,A Contingency Model Predictive Control Framework for Safe Learning,Merlijne Geurts; Tren Baltussen; Alexander Katriniok; Maurice Heemels,2025,IEEE Control Systems Letters,10.1109/lcsys.2025.3575191,https://doi.org/10.1109/lcsys.2025.3575191,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility,False,False,False,True,False
Ahmed Aboudonia; John Lygeros (2025). Adaptive learning-based model predictive control for uncertain interconnected systems: A set membership identification approach. Automatica.,Adaptive learning-based model predictive control for uncertain interconnected systems: A set membership identification approach,Ahmed Aboudonia; John Lygeros,2025,Automatica,10.1016/j.automatica.2024.111943,https://doi.org/10.1016/j.automatica.2024.111943,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
Yan Zhang; Xuhui Bu; Zongyao Chen (2025). Controller-dynamic-linearization-based data-driven load frequency control for interconnected power systems. Control Theory & Applications.,Controller-dynamic-linearization-based data-driven load frequency control for interconnected power systems,Yan Zhang; Xuhui Bu; Zongyao Chen,2025,Control Theory & Applications,10.7641/cta.2024.30403,https://jcta.ijournals.cn/cta_cn/article/html/CCTA230403,journal-article,True,publisher_article_page_exact_doi_title_authors_year_venue,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",,True,,,True
