title,authors,year,venue,doi,source_url,category,limitations,source_class,metadata_status,formal_or_official,covers_complete_dcsv_intersection,access_date
Hybrid Data/Model-Driven Whole-System Admittance Identification via Single-Bus Injections,Yue Zhu; Yunjie Gu; Yifan Zhang; Jessica S. Döhler; Xiaoyao Zhou; Lingling Fan; Timothy C. Green,2026,IEEE Transactions on Power Systems,10.1109/tpwrs.2026.3684993,https://doi.org/10.1109/tpwrs.2026.3684993,black_box_ibr,does not jointly estimate present power/ramp/delay/energy/availability sets before a counterfactual control-loss time,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Learning to Model the Dynamics of Black-Box Inverter-Based Resources With Multiple Unknown Control Modes From Noisy Measurement Data,Heqing Huang; Yuzhang Lin,2026,IEEE Transactions on Smart Grid,10.1109/tsg.2025.3647551,https://doi.org/10.1109/tsg.2025.3647551,black_box_ibr,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Data-driven load frequency control with delay compensation for power systems incorporating inverter air conditioners,Jianning Cai; Bo Hu; Zexi Li; Dongsheng Yang; Lin Zhu; Mauro Cappelli,2026,International Journal of Electrical Power &amp; Energy Systems,10.1016/j.ijepes.2026.111834,https://doi.org/10.1016/j.ijepes.2026.111834,data_frequency_control,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Inverter Based Resource With a Long Feeder: Modeling and Experimental Validation,Antonio C. S. Lima; Anny A. S. Santos; Maria Teresa Correia de Barros; Luis G. B. Rolim; Alberto H. Otero Llosa; Jose C. L. V. Silva,2026,IEEE Transactions on Power Delivery,10.1109/tpwrd.2026.3669810,https://doi.org/10.1109/tpwrd.2026.3669810,native_modeling,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Offset-free Model Predictive Control with parametric models: Augmented disturbance estimates with tunable dynamics and impact on noise sensitivity,P. Tatjewski,2026,Journal of Process Control,10.1016/j.jprocont.2026.103637,https://doi.org/10.1016/j.jprocont.2026.103637,offset_free_mpc,"offset-free disturbance estimates, not control-relevant multidimensional capability sets or three-domain SFR",peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
Adaptive learning-based model predictive control for uncertain interconnected systems: A set membership identification approach,Ahmed Aboudonia; John Lygeros,2025,Automatica,10.1016/j.automatica.2024.111943,https://doi.org/10.1016/j.automatica.2024.111943,adaptive_mpc,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Robust Adaptive Model Predictive Control for Tracking in Interconnected Systems via Distributed Optimization,Fabio Faliero; Elisa Capello; Andrea Iannelli,2025,International Journal of Robust and Nonlinear Control,10.1002/rnc.70319,https://doi.org/10.1002/rnc.70319,adaptive_tube_mpc,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Data-driven dynamic modeling for inverter-based resources using neural networks,Ke Yang; Xin Wang; Xunjun Chen; Renshun Wang; Guangchao Geng; Quanyuan Jiang,2025,Nature Communications,10.1038/s41467-025-66604-z,https://doi.org/10.1038/s41467-025-66604-z,black_box_ibr,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Dynamic Mode Identification and Frequency Stability Enhancement for Grid-Forming Converters,Shan Jiang; Rui Kong; Ye Zhu; Frede Blaabjerg; Georgios Konstantinou,2025,2025 IEEE International Conference on Energy Technologies for Future Grids (ETFG),10.1109/etfg61999.2025.11401098,https://doi.org/10.1109/etfg61999.2025.11401098,black_box_ibr,does not jointly estimate present power/ramp/delay/energy/availability sets before a counterfactual control-loss time,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Efficient Resonance Mode Analysis-Based Methodology for Resonance Studies in Multi-Terminal Transmission Grids,Oriol Cartiel; Juan José Mesas; Luis Sainz,2025,IEEE Transactions on Power Delivery,10.1109/tpwrd.2024.3493381,https://doi.org/10.1109/tpwrd.2024.3493381,black_box_ibr,does not jointly estimate present power/ramp/delay/energy/availability sets before a counterfactual control-loss time,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Identification of Black-Box Inverter-Based Resource Control Using Hammerstein-Wiener Models,Aldin Dželo; Amer Mešanović; Mirsad Cosovic,2025,2025 IEEE PES Innovative Smart Grid Technologies Conference Europe (ISGT Europe),10.1109/isgteurope64741.2025.11305262,https://doi.org/10.1109/isgteurope64741.2025.11305262,black_box_ibr,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Neural Dynamic State Estimation and Prediction for Black-Box Inverter-Based Resources,Heqing Huang; Yuzhang Lin,2025,2025 IEEE Power &amp;amp; Energy Society General Meeting (PESGM),10.1109/pesgm52009.2025.11225334,https://doi.org/10.1109/pesgm52009.2025.11225334,black_box_ibr,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Switching Dynamic State Estimation and Event Detection for Inverter-Based Resources With Multiple Control Modes,Heqing Huang; Yuzhang Lin,2025,IEEE Transactions on Power Systems,10.1109/tpwrs.2024.3523490,https://doi.org/10.1109/tpwrs.2024.3523490,black_box_ibr,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Controller-dynamic-linearization-based data-driven load frequency control for interconnected power systems,Yan Zhang; Xuhui Bu; Zongyao Chen,2025,Control Theory & Applications,10.7641/cta.2024.30403,https://jcta.ijournals.cn/cta_cn/article/html/CCTA230403,data_frequency_control,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Reinforcement Learning Data-Driven Optimal Load-Frequency Control for Power Systems,Yi Zhao,2025,EAI Endorsed Transactions on Energy Web,10.4108/ew.7500,https://doi.org/10.4108/ew.7500,data_frequency_control,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
On Data-Driven Stochastic Output-Feedback Predictive Control,Guanru Pan; Ruchuan Ou; Timm Faulwasser,2025,IEEE Transactions on Automatic Control,10.1109/tac.2024.3494394,https://doi.org/10.1109/tac.2024.3494394,data_predictive,does not by itself solve safe online capability-change diagnosis and responsibility transfer,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
A Contingency Model Predictive Control Framework for Safe Learning,Merlijne Geurts; Tren Baltussen; Alexander Katriniok; Maurice Heemels,2025,IEEE Control Systems Letters,10.1109/lcsys.2025.3575191,https://doi.org/10.1109/lcsys.2025.3575191,dual_safe,not specialized to hidden IBR capability or multi-area frequency responsibility,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Load Frequency Control of Multiarea Interconnected Power System Based on Distributed Economic Model Predictive Control With Guaranteed Stability,Miaomiao Ma; Jing Cui; Hong Chen; Kwang Y. Lee,2025,IEEE Transactions on Industrial Informatics,10.1109/tii.2025.3594079,https://doi.org/10.1109/tii.2025.3594079,multi_area_agc,assumes known resource capability or does not time causal capability learning against control loss,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Electromagnetic Transient Simulation of Large-Scale Inverter-Based Resources With High-Granularity,Jongchan Choi; Yaosuo Xue; Hong Wang,2025,IEEE Open Access Journal of Power and Energy,10.1109/oajpe.2025.3615786,https://doi.org/10.1109/oajpe.2025.3615786,native_modeling,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Inverter-based resource models for dynamic stability studies,Karel Máslo; Juan D. Rios-Peñaloza; Alberto Borghetti,2025,IET Conference Proceedings,10.1049/icp.2024.1952,https://doi.org/10.1049/icp.2024.1952,native_modeling,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
2025 State of Reliability Overview,North American Electric Reliability Corporation,2025,NERC State of Reliability,,https://www.nerc.com/pa/RAPA/PA/Performance%20Analysis%20DL/NERC_SOR_2025_Overview.pdf,official_ibr_validation,"system reliability and IBR evidence, not a controller or certificate construction",peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
Disturbance Monitoring and Reporting Requirements for Inverter-Based Resources (PRC-028-1),North American Electric Reliability Corporation,2025,NERC Reliability Standard,,https://www.nerc.com/standards/reliability-standards/prc/prc-028-1,official_ibr_validation,"monitoring and model-validation requirement, not an online secondary-frequency controller",peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
Findings from Inverter-Based Resource Model Quality Deficiencies Alert,North American Electric Reliability Corporation,2025,NERC Aggregated Report,,https://www.nerc.com/globalassets/programs/bpsa/alerts/2024/errata_of_inverter-based_resource_modeling_deficiencies_aggregated_report.pdf,official_ibr_validation,documents model-quality deficiencies; does not formulate online capability-set control,peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
Data-Driven Nonlinear Model Predictive Control for Power Sharing of Inverter-Based Resources,Maral Shadaei; Javad Khazaei; Faegheh Moazeni,2024,IEEE Transactions on Energy Conversion,10.1109/tec.2024.3365353,https://doi.org/10.1109/tec.2024.3365353,data_frequency_control,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Distributed Data-Driven Frequency Control in Networked Microgrids via Voltage Regulation,Zhiyuan Tang; Youbo Liu; Tingjian Liu; Gao Qiu; Junyong Liu,2024,IEEE Transactions on Smart Grid,10.1109/tsg.2024.3395448,https://doi.org/10.1109/tsg.2024.3395448,data_frequency_control,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Robust and Kernelized Data-Enabled Predictive Control for Nonlinear Systems,Linbin Huang; John Lygeros; Florian Dörfler,2024,IEEE Transactions on Control Systems Technology,10.1109/tcst.2023.3329334,https://doi.org/10.1109/tcst.2023.3329334,data_predictive,does not by itself solve safe online capability-change diagnosis and responsibility transfer,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
An MPC-based Coordinated Fast Frequency Control Method for Inverter-based Resources,Ning Ma; Qiu Jin,2024,2024 IEEE 34th Australasian Universities Power Engineering Conference (AUPEC),10.1109/aupec62273.2024.10807615,https://doi.org/10.1109/aupec62273.2024.10807615,frequency_control,does not address unannounced capability-set changes with a detection-critical-time Gate,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Data-Driven Fast Frequency Control Using Inverter-Based Resources,Etinosa Ekomwenrenren; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Aboutaleb Haddadi; Lin Zhu,2024,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3337011,https://doi.org/10.1109/tpwrs.2023.3337011,frequency_control,does not address unannounced capability-set changes with a detection-critical-time Gate,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Robust Distributed Load Frequency Control for Multi-Area Power Systems with Photovoltaic and Battery Energy Storage System,Yunrui Lan; Mahesh S. Illindala,2024,Energies,10.3390/en17225536,https://doi.org/10.3390/en17225536,multi_area_agc,does not model unannounced black-box IBR capability changes or control-critical detection windows,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Tube-based MPC strategy for load frequency control of multi-area interconnected power system with HESS,Zhuoer An; Xinghua Liu; Gaoxi Xiao; Guangyu Song; Peng Wang,2024,Journal of Energy Storage,10.1016/j.est.2024.113340,https://doi.org/10.1016/j.est.2024.113340,multi_area_agc,assumes known resource capability or does not time causal capability learning against control loss,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Robust adaptive tube tracking model predictive control for piece‐wise constant reference signals,Tobias Peschke; Daniel Görges,2023,International Journal of Robust and Nonlinear Control,10.1002/rnc.6814,https://doi.org/10.1002/rnc.6814,adaptive_mpc,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Safe learning-based model predictive control using the compatible models approach,Anas Makdesi; Antoine Girard; Laurent Fribourg,2023,European Journal of Control,10.1016/j.ejcon.2023.100849,https://doi.org/10.1016/j.ejcon.2023.100849,adaptive_mpc,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Robust adaptive MPC using control contraction metrics,András Sasfi; Melanie N. Zeilinger; Johannes Köhler,2023,Automatica,10.1016/j.automatica.2023.111169,https://doi.org/10.1016/j.automatica.2023.111169,adaptive_tube_mpc,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
