gate,recomputed,package,matches
materiality_retained_from_R1,True,True,True
plant_a_minimum_scale,True,True,True
plant_b_minimum_scale,True,True,True
success_drop_at_most_2pp,False,False,True
failure_aware_not_worse,False,False,True
two_of_three_metrics_improve_8pct_positive_ci,False,False,True
terminal_recovery_not_worse,False,False,True
hard_violations_zero,True,True,True
known_contract_backup_at_most_1pct,False,False,True
numerical_failure_at_most_0p1pct,True,True,True
p99_below_half_period,True,True,True
plant_a_b_direction_consistent_positive,False,False,True
normal1h_six_per_method_full_rolling,True,True,True
normal1h_frequency_quality,False,False,True
contract_violation_separate_and_detected,True,True,True
physical_infeasible_not_imputed_failure,True,True,True
action_availability_100pct,True,True,True
all_attempted_calls_in_denominator,True,True,True
solver_denominator_identities_hold,True,True,True
