citation,title,authors,year,venue,doi,source_url,source_type,formal_peer_reviewed_or_standard,metadata_verification,category,problem,plant_model,black_box,multiple_modes,online_change,frequency_service,multi_area,ACE_tie_line,diagnosis_before_control_harm,constraint_guarantee,active_identification,native_RMS_or_EMT,data_requirements,limitations
S. Rezaei; X. Wang; S. Geng (2026). Data-Driven Koopman Predictive Control for Frequency Regulation of Power Systems using Black-Box IBRs. arXiv preprint.,Data-Driven Koopman Predictive Control for Frequency Regulation of Power Systems using Black-Box IBRs,S. Rezaei; X. Wang; S. Geng,2026,arXiv preprint,,https://arxiv.org/abs/2604.02251,posted-content,False,source_url_http_200,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
Antonio C. S. Lima; Anny A. S. Santos; Maria Teresa Correia de Barros; Luis G. B. Rolim; Alberto H. Otero Llosa; Jose C. L. V. Silva (2026). Inverter Based Resource With a Long Feeder: Modeling and Experimental Validation. IEEE Transactions on Power Delivery.,Inverter Based Resource With a Long Feeder: Modeling and Experimental Validation,Antonio C. S. Lima; Anny A. S. Santos; Maria Teresa Correia de Barros; Luis G. B. Rolim; Alberto H. Otero Llosa; Jose C. L. V. Silva,2026,IEEE Transactions on Power Delivery,10.1109/tpwrd.2026.3669810,https://doi.org/10.1109/tpwrd.2026.3669810,journal-article,True,crossref_exact_doi_title_fragment_year,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,native network RMS/DAE or EMT,varies,varies,False,supporting,possible,False,False,False,False,True,network/device parameters and validated operating cases,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller"
Heqing Huang; Yuzhang Lin (2026). Learning to Model the Dynamics of Black-Box Inverter-Based Resources With Multiple Unknown Control Modes From Noisy Measurement Data. IEEE Transactions on Smart Grid.,Learning to Model the Dynamics of Black-Box Inverter-Based Resources With Multiple Unknown Control Modes From Noisy Measurement Data,Heqing Huang; Yuzhang Lin,2026,IEEE Transactions on Smart Grid,10.1109/tsg.2025.3647551,https://doi.org/10.1109/tsg.2025.3647551,journal-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation"
Merlijne Geurts; Tren Baltussen; Alexander Katriniok; Maurice Heemels (2025). A Contingency Model Predictive Control Framework for Safe Learning. IEEE Control Systems Letters.,A Contingency Model Predictive Control Framework for Safe Learning,Merlijne Geurts; Tren Baltussen; Alexander Katriniok; Maurice Heemels,2025,IEEE Control Systems Letters,10.1109/lcsys.2025.3575191,https://doi.org/10.1109/lcsys.2025.3575191,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility
Ahmed Aboudonia; John Lygeros (2025). Adaptive learning-based model predictive control for uncertain interconnected systems: A set membership identification approach. Automatica.,Adaptive learning-based model predictive control for uncertain interconnected systems: A set membership identification approach,Ahmed Aboudonia; John Lygeros,2025,Automatica,10.1016/j.automatica.2024.111943,https://doi.org/10.1016/j.automatica.2024.111943,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints"
Ke Yang; Xin Wang; Xunjun Chen; Renshun Wang; Guangchao Geng; Quanyuan Jiang (2025). Data-driven dynamic modeling for inverter-based resources using neural networks. Nature Communications.,Data-driven dynamic modeling for inverter-based resources using neural networks,Ke Yang; Xin Wang; Xunjun Chen; Renshun Wang; Guangchao Geng; Quanyuan Jiang,2025,Nature Communications,10.1038/s41467-025-66604-z,https://doi.org/10.1038/s41467-025-66604-z,journal-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation"
Jongchan Choi; Yaosuo Xue; Hong Wang (2025). Electromagnetic Transient Simulation of Large-Scale Inverter-Based Resources With High-Granularity. IEEE Open Access Journal of Power and Energy.,Electromagnetic Transient Simulation of Large-Scale Inverter-Based Resources With High-Granularity,Jongchan Choi; Yaosuo Xue; Hong Wang,2025,IEEE Open Access Journal of Power and Energy,10.1109/oajpe.2025.3615786,https://doi.org/10.1109/oajpe.2025.3615786,journal-article,True,crossref_exact_doi_title_fragment_year,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,native network RMS/DAE or EMT,varies,varies,False,supporting,possible,False,False,False,False,True,network/device parameters and validated operating cases,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller"
North American Electric Reliability Corporation (2025). EMT Analysis in Operations Planning for BPS-Connected Inverter-Based Resources. NERC white paper.,EMT Analysis in Operations Planning for BPS-Connected Inverter-Based Resources,North American Electric Reliability Corporation,2025,NERC white paper,,https://www.nerc.com/globalassets/our-work/reports/white-papers/whitepaper_-emt-analysis-in-operations_v2.0_final.pdf,official-report,False,source_url_http_200,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm
North American Electric Reliability Corporation (2025). Findings from Inverter-Based Resource Model Quality Deficiencies Alert. NERC aggregated report.,Findings from Inverter-Based Resource Model Quality Deficiencies Alert,North American Electric Reliability Corporation,2025,NERC aggregated report,,https://www.nerc.com/globalassets/programs/bpsa/alerts/2025/inverter-based_resource_modeling_deficiencies_aggregated_report.pdf,official-report,False,source_url_http_200,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm
Aldin Dželo; Amer Mešanović; Mirsad Cosovic (2025). Identification of Black-Box Inverter-Based Resource Control Using Hammerstein-Wiener Models. 2025 IEEE PES Innovative Smart Grid Technologies Conference Europe (ISGT Europe).,Identification of Black-Box Inverter-Based Resource Control Using Hammerstein-Wiener Models,Aldin Dželo; Amer Mešanović; Mirsad Cosovic,2025,2025 IEEE PES Innovative Smart Grid Technologies Conference Europe (ISGT Europe),10.1109/isgteurope64741.2025.11305262,https://doi.org/10.1109/isgteurope64741.2025.11305262,proceedings-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation"
Karel Máslo; Juan D. Rios-Peñaloza; Alberto Borghetti (2025). Inverter-based resource models for dynamic stability studies. IET Conference Proceedings.,Inverter-based resource models for dynamic stability studies,Karel Máslo; Juan D. Rios-Peñaloza; Alberto Borghetti,2025,IET Conference Proceedings,10.1049/icp.2024.1952,https://doi.org/10.1049/icp.2024.1952,journal-article,True,crossref_exact_doi_title_fragment_year,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,native network RMS/DAE or EMT,varies,varies,False,supporting,possible,False,False,False,False,True,network/device parameters and validated operating cases,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller"
