cell_id,plant,period_s,sg_tension,sg_reserve_pu,load_case,load_area_1_pu,load_area_2_pu,capability_contract,known_ood,classification,classification_reason,classification_locked_before_terminal_calibration,equilibrium_feasible,equilibrium_sg_1_pu,equilibrium_sg_2_pu,equilibrium_tie_pu,equilibrium_bess_1_pu,equilibrium_bess_2_pu,equilibrium_balance_residual_max_pu,equilibrium_x0,equilibrium_x1,equilibrium_x2,equilibrium_x3,equilibrium_x4,equilibrium_x5,equilibrium_x6,equilibrium_x7,equilibrium_x8,bridge_sg_1_pu,bridge_sg_2_pu,bridge_bess_1_pu,bridge_bess_2_pu,bridge_tie_pu,bridge_energy_area_1_mwh,bridge_energy_area_2_mwh,bridge_balance_residual_max_pu,slow_reserve_arrival_s,post_reserve_equilibrium_feasible,post_reserve_balance_residual_max_pu,binding_constraints,physical_infeasibility_not_controller_failure
A_2s_critical_a1_neg_006_known_derated_joint,A,2.0,critical,0.025,a1_neg_006,-0.06,0.0,known_derated_joint,known,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_2s_critical_a1_pos_006_known_derated_joint,A,2.0,critical,0.025,a1_pos_006,0.06,0.0,known_derated_joint,known,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_2s_critical_a1_pos_008_known_derated_joint,A,2.0,critical,0.025,a1_pos_008,0.08,0.0,known_derated_joint,known,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_2s_critical_a2_neg_008_known_derated_joint,A,2.0,critical,0.025,a2_neg_008,0.0,-0.08,known_derated_joint,known,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_2s_critical_both_pos_006_004_known_derated_joint,A,2.0,critical,0.025,both_pos_006_004,0.06,0.04,known_derated_joint,known,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_2s_critical_both_pos_006_004_ood_asymmetric_mixed,A,2.0,critical,0.025,both_pos_006_004,0.06,0.04,ood_asymmetric_mixed,ood,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_2s_critical_both_pos_008_known_derated_joint,A,2.0,critical,0.025,both_pos_008,0.08,0.08,known_derated_joint,known,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_2s_critical_both_pos_008_ood_asymmetric_mixed,A,2.0,critical,0.025,both_pos_008,0.08,0.08,ood_asymmetric_mixed,ood,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_2s_scarce_both_pos_008_known_derated_joint,A,2.0,scarce,0.05,both_pos_008,0.08,0.08,known_derated_joint,known,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_2s_scarce_both_pos_008_ood_asymmetric_mixed,A,2.0,scarce,0.05,both_pos_008,0.08,0.08,ood_asymmetric_mixed,ood,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
A_4s_critical_both_pos_008_known_derated_joint,A,4.0,critical,0.025,both_pos_008,0.08,0.08,known_derated_joint,known,PHYSICALLY_INFEASIBLE_UNDER_REGISTERED_CAPABILITY,pre-reserve bridge power/ramp/delay infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),True,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,True,0.0,power|ramp,True
