theme,registered_sources,closest_work,remaining_gap
adaptive_mpc,3,constraint-safe MPC with online model or uncertainty-set adaptation,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints"
adaptive_tube_mpc,6,causal set-membership adaptation with robust predictive constraint handling,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation"
frequency_control,4,fast or coordinated frequency control using inverter-based resources,does not address unannounced capability-set changes with a detection-critical-time Gate
industry_guideline,5,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",engineering requirement or event evidence rather than a control algorithm
mpc_stability,1,terminal ingredients and recursive-feasibility foundations,does not address empirical uncertainty coverage or finite-energy bridge claims
multi_area_agc,8,constrained multi-area load-frequency/ACE control,assumes known resource capability or does not time causal capability learning against control loss
native_modeling,4,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller"
receding_horizon_stability,1,constraint-feasible receding-horizon stability,nominal stability result rather than registered delay/capability uncertainty
rpi_computation,1,outer approximation of the minimal RPI set,does not provide the sustainable/finite-energy partition or power-system contract
set_invariance,1,foundational invariant-set analysis and synthesis,general theory rather than delayed energy-limited multi-area frequency service
tube_rmpc_terminal_rpi,1,bounded-disturbance RMPC around a disturbance-invariant set,not specialized to load-dependent multi-area equilibria or finite-energy IBR bridge cells
