gate,name,status,evidence
G0,Baseline forensic freeze,PASS,Phase D frozen; old H2 invalidated by closed-loop/evaluation defects
G1,Novelty and scientific question,PASS,conditional intersection supported; 75 verified records
G2,Physics and stable closed loop,PASS,Plant A and native ANDES Plant B passed
G3,Oracle materiality,PASS,qualified O2; 5 mechanisms and 3 SG tensions; A/B direction consistent
G4,Passive capability information,FAIL,0/3 estimators met timing and contraction; continue to E5
G5,Safe active information,FAIL,unsafe/costly and 0/5 timing; branch R selected
G6,Selected method validation,FAIL_FATAL,1.846% solver infeasibility exceeds 1% despite performance gains
G7,Theory certificate,NOT_EVALUATED,stopped after fatal G6; no theorem claim
G8,Final known/OOD,NOT_EVALUATED,stopped before final lock; no final seeds consumed
G9,Review package,PENDING,set to PASS only by package verifier
